Row Labels,Sum of Valuation
4/2/2013,27280
4/3/2013,389614
4/4/2013,2747076
4/5/2013,27979
4/8/2013,4172699
4/9/2013,2743516
4/10/2013,22750
4/11/2013,100122
4/12/2013,290023
4/15/2013,85764
4/16/2013,338988
4/17/2013,166027
4/18/2013,991175
4/19/2013,551403
4/22/2013,129180
4/23/2013,544900
4/24/2013,1002565
4/25/2013,85000
4/26/2013,746276
4/29/2013,487087
4/30/2013,2620274
5/1/2013,238182
5/2/2013,163260
5/3/2013,4625438
5/6/2013,795391
5/7/2013,221630
5/8/2013,841116
5/9/2013,791770
5/10/2013,578350
5/13/2013,329752
5/14/2013,67481
5/15/2013,1010230
5/16/2013,1349497
5/17/2013,9021169
5/18/2013,0
5/20/2013,1162052
5/21/2013,1147950
5/22/2013,595777
5/23/2013,46274
5/24/2013,647510
5/28/2013,3757650
5/29/2013,1172460
5/30/2013,665889
5/31/2013,43000
6/3/2013,115807
6/4/2013,84090
6/5/2013,130328
6/6/2013,19000
6/7/2013,126978
6/8/2013,0
6/10/2013,157290
6/11/2013,1309845
6/12/2013,860515
6/13/2013,167653
6/14/2013,144555
6/17/2013,495395
6/18/2013,776117.99
6/19/2013,1654680
6/20/2013,3469428
6/21/2013,559095
6/24/2013,819547
6/25/2013,487688
6/26/2013,119882
6/27/2013,370794
6/28/2013,361949
7/1/2013,2617534
7/2/2013,121488
7/3/2013,877014
7/5/2013,392500
7/8/2013,135997
7/9/2013,2720688
7/10/2013,94000
7/11/2013,133999
7/12/2013,226500
7/15/2013,2553723
7/16/2013,601846
7/17/2013,1730791
7/18/2013,409705.85
7/19/2013,73365
7/22/2013,209376
7/23/2013,1158319
7/24/2013,725656
7/25/2013,553160
7/26/2013,173903
7/29/2013,651984
7/30/2013,719429
7/31/2013,217650
8/1/2013,1845519
8/2/2013,68535
8/5/2013,99200
8/6/2013,1426848
8/7/2013,653390
8/8/2013,1170233
8/9/2013,39667
8/12/2013,694074
8/13/2013,137365
8/14/2013,551099
8/15/2013,99860
8/16/2013,397439
8/19/2013,342332
8/20/2013,187120
8/21/2013,37605
8/22/2013,117600
8/23/2013,785442
8/24/2013,0
8/26/2013,922619
8/27/2013,376260
8/28/2013,572300
8/29/2013,162351
8/30/2013,5058360
9/3/2013,772212
9/4/2013,142347
9/5/2013,143097
9/6/2013,612675
9/7/2013,0
9/9/2013,1413490
9/10/2013,195900
9/11/2013,254568
9/12/2013,113900
9/13/2013,209499
9/16/2013,599514
9/17/2013,1654930
9/18/2013,321380
9/19/2013,122660.05
9/20/2013,2172699
9/23/2013,1074377
9/24/2013,462875
9/25/2013,111317
9/26/2013,403140
9/27/2013,624350
9/30/2013,223316
10/1/2013,222465
10/2/2013,494323
10/3/2013,395159
10/4/2013,317249
10/7/2013,218840
10/8/2013,951517
10/9/2013,692323
10/10/2013,87194
10/11/2013,416115
10/15/2013,524738
10/16/2013,273956
10/17/2013,38278
10/18/2013,202800
10/19/2013,0
10/21/2013,422424
10/22/2013,345874
10/23/2013,73086
10/24/2013,6592504
10/25/2013,146145.5
10/26/2013,0
10/28/2013,416619
10/29/2013,368789
10/30/2013,1315987
10/31/2013,372730
11/1/2013,354440
11/4/2013,628200
11/5/2013,168254
11/6/2013,4682332
11/7/2013,1227074
11/8/2013,397663.92
11/12/2013,125584
11/13/2013,133676
11/14/2013,52313
11/15/2013,296080
11/18/2013,705055
11/19/2013,507695
11/20/2013,467064
11/21/2013,1282838
11/22/2013,1099490
11/25/2013,68332
11/26/2013,1564477
11/27/2013,30200
11/29/2013,0
12/2/2013,857521
12/3/2013,876038
12/4/2013,323800
12/5/2013,1483885
12/6/2013,164661
12/9/2013,2059816
12/10/2013,40665
12/11/2013,949345
12/12/2013,820233
12/13/2013,28925
12/14/2013,0
12/16/2013,140447
12/17/2013,2056837
12/18/2013,110584
12/19/2013,158036
12/20/2013,150622
12/23/2013,84354.81
12/24/2013,680285
12/26/2013,19367
12/27/2013,20300
12/30/2013,25390
12/31/2013,2000
1/2/2014,288264
1/3/2014,49050
1/6/2014,395700
1/7/2014,2015988
1/8/2014,734894.71
1/9/2014,404331
1/10/2014,80432
1/13/2014,127476
1/14/2014,348700
1/15/2014,850865
1/16/2014,169300
1/17/2014,511055.84
1/21/2014,759900
1/22/2014,476995
1/23/2014,38729
1/24/2014,272874
1/27/2014,26350
1/28/2014,250442
1/29/2014,145160.98
1/30/2014,533034.54
1/31/2014,114072
2/3/2014,1455618.7
2/4/2014,1128062
