TAX_ID,Lat,Lon,NonResAssets_CombinedCode,CODEAB_CombinedCode,Entity2,Entity_Category,ENTITY,Status
31150005200000030030000000,43.03627011,-76.12625897,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000160060000000,43.03834224,-76.1260806,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000030190000000,43.03428453,-76.1260472,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000140020000000,43.03795002,-76.12600052,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000140030000000,43.03779626,-76.12598088,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000140040000000,43.03767173,-76.12596623,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000140050000000,43.03755864,-76.12595321,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000140080000000,43.03717498,-76.12593009,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000030170000000,43.03446889,-76.12564271,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000130110000000,43.03668075,-76.1254193,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000040360000000,43.03579033,-76.12537508,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000040310000000,43.03518132,-76.12532364,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000040270000000,43.03463357,-76.12527452,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000130100000000,43.03668144,-76.12525593,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
