Row Labels,Affordable Housing,Alcohol Commercial,Auto Commercial,Banks and Lending,Care Commercial,Community Safety,Convenience Commercial,Education,Entertainment,Food Commercial,Gasoline Commercial,Health and Wellness,Hotel and Motel,Industrial,Infrastructure,Legal,Manufacturing,Mixed Use,Office Space,Public Space and Services,Religious,Residential,Retail Commercial,Shopping Center,Storage Commercial,Vacant Building,Grand Total,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars
34.00,0.01,0,0.03,0,0,0,0.01,0.01,0.01,0.02,0,0.04,0.01,0,0.01,0,0.01,0.05,0.01,0.03,0.01,0.65,0.01,0,0.04,0.03,1,1111,208,0.45,0.1,0.41,0.11,0.08,0.06,633,14969,4971,22970,5154
35.00,0.01,0,0.01,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.01,0.03,0,0.01,0.01,0.85,0.01,0,0.02,0.01,1,1713,234,0.58,0.1,0.5,0.1,0.14,0.08,947,17863,4674,35834,7625
36.01,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0.94,0,0,0.01,0.01,1,1760,181,0.58,0.06,0.47,0.06,0.2,0.07,867,25750,14585,36577,5643
36.02,0,0.01,0.01,0,0,0,0,0.01,0,0.02,0,0.01,0,0,0,0,0,0.02,0,0,0,0.89,0.02,0,0,0.01,1,1741,145,0.7,0.05,0.62,0.05,0.12,0.05,957,41676,6519,48475,4779
38.00,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0.95,0,0,0,0,1,1883,216,0.52,0.09,0.39,0.08,0.23,0.09,936,25682,9498,32565,6614
39.00,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0.01,0.94,0,0,0,0.01,1,2401,251,0.47,0.07,0.36,0.06,0.24,0.06,1242,19758,6165,28839,4166
40.00,0.01,0,0,0,0,0,0.01,0,0.02,0.01,0,0,0,0,0,0,0,0.06,0,0.01,0.01,0.82,0.01,0,0,0.03,1,1201,260,0.54,0.11,0.47,0.1,0.14,0.09,529,29438,12507,40729,11965
42.00,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0.02,0.01,0.01,0.01,0.87,0,0,0.01,0.01,1,1444,121,0.55,0.06,0.34,0.05,0.39,0.08,933,11744,1463,16344,2516
43.01,0,0.03,0.03,0.01,0,0.01,0.01,0.06,0,0.01,0,0.04,0,0,0.01,0,0,0.03,0,0.01,0,0.74,0.01,0,0,0,1,1512,191,0.34,0.08,0.27,0.08,0.21,0.09,528,9268,1054,23893,14003
43.02,0.04,0.01,0.02,0.02,0.01,0.01,0.01,0.22,0.01,0.1,0,0.02,0,0,0.01,0,0,0.05,0,0.07,0.02,0.36,0.02,0,0,0,1,6678,532,0.32,0.04,0.24,0.03,0.24,0.07,475,9171,1324,12762,2994
