OriginIDGen,DestIDGen,OriginIDChar,DestIDChar,D_TwelveAM.Time,D_TwelveAM.Distance,T_TwelveAM.Time,T_TwelveAM.Distance,D_OneAM.Time,D_OneAM.Distance,T_OneAM.Time,T_OneAM.Distance,D_TwoAM.Time,D_TwoAM.Distance,T_TwoAM.Time,T_TwoAM.Distance,D_ThreeAM.Time,D_ThreeAM.Distance,T_ThreeAM.Time,T_ThreeAM.Distance,D_FourAM.Time,D_FourAM.Distance,T_FourAM.Time,T_FourAM.Distance,D_WeekDay_Winter.D_FivePM.Time,D_WeekDay_Winter.D_FivePM.Distance,T_FiveAM.Time,T_FiveAM.Distance,D_SixAM.Time,D_SixAM.Distance,T_SixAM.Time,T_SixAM.Distance,D_SevenAM.Time,D_SevenAM.Distance,T_SevenAM.Time,T_SevenAM.Distance,D_EightAM.Time,D_EightAM.Distance,T_EightAM.Time,T_EightAM.Distance,D_NineAM.Time,D_NineAM.Distance,T_NineAM.Time,T_NineAM.Distance,D_TenAM.Time,D_TenAM.Distance,T_TenAM.Time,T_TenAM.Distance,D_ElevenAM.Time,D_ElevenAM.Distance,T_ElevenAM.Time,T_ElevenAM.Distance,D_TwelvePM.Time,D_TwelvePM.Distance,T_TwelvePM.Time,T_TwelvePM.Distance,D_OnePM.Time,D_OnePM.Distance,T_OnePM.Time,T_OnePM.Distance,D_TwoPM.Time,D_TwoPM.Distance,T_TwoPM.Time,T_TwoPM.Distance,D_ThreePM.Time,D_ThreePM.Distance,T_ThreePM.Time,T_ThreePM.Distance,D_FourPM.Time,D_FourPM.Distance,T_FourPM.Time,T_FourPM.Distance,D_WeekDay_Winter_A.D_FivePM.Time,D_WeekDay_Winter_A.D_FivePM.Distance,T_FivePM.Time,T_FivePM.Distance,D_SixPM.Time,D_SixPM.Distance,T_SixPM.Time,T_SixPM.Distance,D_SevenPM.Time,D_SevenPM.Distance,T_SevenPM.Time,T_SevenPM.Distance,D_EightPM.Time,D_EightPM.Distance,T_EightPM.Time,T_EightPM.Distance,D_NinePM.Time,D_NinePM.Distance,T_NinePM.Time,T_NinePM.Distance,D_TenPM.Time,D_TenPM.Distance,T_TenPM.Time,T_TenPM.Distance,D_ElevenPM.Time,D_ElevenPM.Distance,T_ElevenPM.Time,T_ElevenPM.Distance
43.0277404994+-76.1924749643,43.0479517596+-76.1505944348,43.0277404994+-76.1924749643,43.0479517596+-76.1505944348,12.45,2.91,40.95,3.46,719,4688,2277,5590,727,4688,2143,5500,722,4688,3377,4607,702,4688,2143,5474,776,4688,3377,4607,722,4688,3377,4607,718,4688,3377,4607,691,4861,3377,4607,693,4688,3377,4607,690,4688,1667,5565,681,4688,1875,6585,714,4688,1857,5564,767,4688,2661,5590,760,4688,2457,5590,771,4688,2457,5590,756,4688,2283,6267,776,4688,2283,6267,759,4688,2457,5590,767,4688,2457,5590,795,4688,3368,9953,787,4688,1900,6585,776,4688,2157,5590,743,4688,3377,4607
43.0263249878+-76.178867784,43.0479517596+-76.1505944348,43.0263249878+-76.178867784,43.0479517596+-76.1505944348,10.60,2.46,37.67,3.03,628,3958,2080,4899,636,3958,2846,3958,638,3958,2846,3958,608,3958,1946,4785,677,3958,2846,3958,605,3958,2846,3958,615,3958,2846,3958,599,4212,2846,3958,603,3958,2846,3958,575,4212,1492,4876,607,3958,1828,4827,623,3958,1682,4875,668,3958,2429,4899,657,3958,2260,4899,652,3958,2260,4899,664,3958,2549,6606,677,3958,2549,6606,671,3958,2260,4899,660,3958,2260,4899,684,3958,3070,6006,694,3958,2249,6606,674,3958,1960,4899,650,3958,2846,3958
43.0265783488+-76.1702682227,43.0479517596+-76.1505944348,43.0265783488+-76.1702682227,43.0479517596+-76.1505944348,10.12,2.15,30.48,2.39,602,3459,1957,4226,611,3459,2376,3270,611,3459,2376,3270,593,3459,1823,4113,643,3459,2376,3270,605,3459,2376,3270,594,3459,2376,3270,638,3459,2376,3270,575,3459,2376,3270,576,3459,1437,4203,560,3459,1520,3848,601,3459,1627,4203,641,3459,1519,3829,624,3459,1829,3848,631,3459,1856,3845,629,3459,1856,3845,643,3459,1856,3845,640,3459,1696,3757,634,3459,1914,3848,658,3459,2376,3270,667,3459,1529,3848,646,3459,1529,3848,622,3459,1829,3848
43.0236257155+-76.1607793382,43.0479517596+-76.1505944348,43.0236257155+-76.1607793382,43.0479517596+-76.1505944348,8.18,1.88,25.57,2.44,476,3024,1390,3371,510,3024,2241,3024,467,3024,1390,3371,461,3024,1390,3371,535,3024,2241,3024,458,3024,2241,3024,453,3024,2241,3024,466,3024,2241,3024,478,3024,2241,3024,487,3024,1470,3934,485,3024,1225,3929,494,3024,1572,3934,507,3024,1224,3910,521,3024,1566,3340,514,3024,1561,3926,568,3024,1561,3926,535,3024,1561,3926,545,3024,1401,3838,522,3024,1663,3929,539,3024,1750,3926,580,3024,1243,3265,567,3024,1572,3934,508,3024,1534,3929
43.0321258057+-76.1594070774,43.0479517596+-76.1505944348,43.0321258057+-76.1594070774,43.0479517596+-76.1505944348,6.88,1.32,19.82,1.52,417,2128,1602,2128,419,2128,1602,2128,410,2128,1051,2434,393,2128,1051,2434,465,2128,1602,2128,394,2128,1602,2128,409,2128,1602,2128,407,2128,1602,2128,403,2128,1602,2128,391,2128,1006,2731,380,2128,1006,2731,401,2128,1398,3653,444,2128,879,2423,430,2128,1242,2402,440,2128,1216,2439,449,2128,1602,2128,465,2128,1602,2128,464,2128,1056,2351,452,2128,1216,2439,484,2128,946,2328,483,2128,919,2328,452,2128,1365,2731,435,2128,1326,2442
43.0316485763+-76.1479948458,43.0479517596+-76.1505944348,43.0316485763+-76.1479948458,43.0479517596+-76.1505944348,5.18,1.15,15.27,1.37,295,1849,1376,1849,308,1849,1376,1849,310,1849,1068,2294,295,1849,1376,1849,359,1849,1376,1849,274,1849,1376,1849,271,1849,1376,1849,287,1849,1376,1849,297,1849,1376,1849,311,1849,843,2294,296,1849,1037,3122,311,1849,768,2294,328,1849,776,2296,333,1849,1095,2047,334,1849,1095,2047,380,1849,1376,1849,359,1849,1068,2294,363,1849,1376,1849,344,1849,1095,2047,340,1849,1095,2047,356,1849,882,2302,357,1849,768,2294,323,1849,925,2190
43.0244601122+-76.1459220446,43.0479517596+-76.1505944348,43.0244601122+-76.1459220446,43.0479517596+-76.1505944348,8.25,2.04,18.77,1.77,473,3283,2043,2755,485,3283,2043,2755,495,3283,1278,2929,471,3283,1278,2929,552,3283,2043,2755,441,3283,2043,2755,434,3283,2043,2755,456,3283,2043,2755,466,3283,2043,2755,484,3283,1016,2929,482,3283,1148,3871,483,3283,978,2929,509,3283,968,2932,514,3283,1392,2955,512,3283,1392,2955,583,3283,1392,2955,552,3283,1268,2932,552,3283,1278,2929,544,3283,1392,2955,533,3283,1392,2955,559,3283,1111,2937,551,3283,978,2900,510,3283,1135,2826
43.02096272+-76.1341186953,43.0479517596+-76.1505944348,43.02096272+-76.1341186953,43.0479517596+-76.1505944348,8.13,2.63,35.60,2.86,491,4236,1640,5977,485,4236,1640,5977,483,4236,2967,4108,478,4236,1590,5977,525,4236,2967,4108,455,4236,2967,4108,467,4236,2967,4108,460,4236,2967,4108,472,4236,2967,4108,476,4236,1836,4609,474,4236,1604,7294,496,4236,1987,4617,568,4236,1689,5977,547,4236,1698,5977,523,4236,1993,4506,526,4236,2287,4635,525,4236,2330,7196,521,4236,1689,5977,515,4236,1689,5977,526,4236,2097,4581,549,4236,1804,5872,574,4236,1836,4609,516,4236,1984,4525
43.0243860072+-76.1215544662,43.0479517596+-76.1505944348,43.0243860072+-76.1215544662,43.0479517596+-76.1505944348,8.72,3.12,26.38,3.18,524,5026,2039,5523,518,5026,2039,5523,513,5026,3488,4631,498,5026,2014,5523,560,5026,3488,4631,470,5026,3488,4631,489,5026,3488,4631,480,5026,3488,4631,481,5026,3488,4631,498,5026,1471,6438,488,5026,1471,6438,533,5026,1471,6438,613,5026,2088,5523,593,5026,2162,6914,562,5026,1532,5121,564,5026,2162,6914,560,5026,1532,5121,555,5026,2162,6914,555,5026,2088,5523,568,5026,1532,5317,591,5026,1591,6438,618,5026,1471,6482,556,5026,1574,5121
43.0178834101+-76.1176001489,43.0479517596+-76.1505944348,43.0178834101+-76.1176001489,43.0479517596+-76.1505944348,10.28,3.43,48.63,4.31,621,5524,2915,7312,613,5524,2915,7312,614,5524,2877,7312,596,5524,3542,7175,657,5524,3542,7175,556,5524,3542,7175,570,5524,3542,7175,563,5524,3542,7175,572,5524,3542,7175,588,5524,2305,7763,584,5524,2305,7763,636,5524,2630,7015,709,5524,2069,8341,729,5524,2069,8341,661,5524,2069,8341,655,5524,2069,8341,657,5524,2069,8341,646,5524,2069,8341,647,5524,2069,8341,658,5524,1889,8341,683,5524,1769,8341,714,5524,2305,7807,640,5524,3818,6937
43.0152165341+-76.1641632707,43.0479517596+-76.1505944348,43.0152165341+-76.1641632707,43.0479517596+-76.1505944348,9.18,2.49,27.73,3.16,533,4002,1667,4483,595,4002,1667,4483,530,4002,2954,4002,529,4002,1667,4483,601,4002,2954,4002,505,4002,2954,4002,503,4002,2954,4002,515,4002,2954,4002,513,4002,2954,4002,534,4002,2082,7065,551,4002,1299,5091,558,4002,1772,5091,567,4002,1336,5072,576,4002,1604,4470,572,4002,1691,5088,633,4002,1691,5088,601,4002,1691,5088,606,4002,1514,5000,586,4002,1844,5091,615,4002,2395,4492,660,4002,1306,4396,638,4002,1364,5091,569,4002,1618,5091
43.0198522873+-76.1530069311,43.0479517596+-76.1505944348,43.0198522873+-76.1530069311,43.0479517596+-76.1505944348,8.68,2.21,23.60,2.53,498,3552,1794,4286,530,3552,2618,3507,495,3552,2618,3507,489,3552,1794,4286,557,3552,2618,3507,469,3552,2618,3507,473,3552,2618,3507,487,3552,2618,3507,493,3552,2618,3507,512,3552,1104,4173,513,3552,1104,4173,537,3552,1500,5095,540,3552,1407,4083,568,3552,1548,4173,550,3552,2001,4872,592,3552,2001,4872,557,3552,1848,4132,578,3552,1548,4173,553,3552,1548,4173,577,3552,1838,4101,617,3552,1633,4180,607,3552,1530,4173,542,3552,1548,4173
43.0169701302+-76.1449209453,43.0479517596+-76.1505944348,43.0169701302+-76.1449209453,43.0479517596+-76.1505944348,8.13,2.94,24.40,2.44,486,4737,1473,3900,484,4737,1616,4004,473,4737,2787,3752,472,4737,1616,4004,523,4737,2787,3752,446,4737,2787,3752,457,4737,2787,3752,452,4737,2787,3752,477,4737,2787,3752,467,4737,1296,4004,466,4737,1131,4539,488,4737,1536,5459,585,3830,1278,4006,545,4737,1593,4539,520,4737,1811,4029,525,4737,1811,4029,523,4737,1578,4006,523,4737,1593,4539,515,4737,1593,4539,524,4737,1568,3976,547,4737,1511,4029,569,4737,1575,4539,512,4737,1593,4539
42.9976466243+-76.1561595379,43.0479517596+-76.1505944348,42.9976466243+-76.1561595379,43.0479517596+-76.1505944348,13.95,3.90,33.87,4.60,824,6269,2445,6615,881,6269,2445,6615,813,6269,2445,6615,801,6269,2445,6615,881,6269,1533,7512,768,6269,1533,7512,776,6269,1533,7512,828,6269,1533,7512,777,6269,1533,7512,785,6269,1533,7512,849,6269,1773,7512,868,6269,1773,7512,856,6269,2344,7512,873,6269,2164,7512,853,6269,2164,7512,906,6269,3162,8341,881,6269,3162,8341,902,6269,2164,7512,885,6269,2164,7512,930,6269,2629,7183,964,6269,1864,7512,937,6269,1864,7512,853,6269,2164,7512
43.0071361096+-76.1418232057,43.0479517596+-76.1505944348,43.0071361096+-76.1418232057,43.0479517596+-76.1505944348,9.83,3.45,24.92,3.03,582,5549,1504,4861,584,5549,1647,4965,566,5549,1647,4965,567,5549,1647,4965,649,5549,3569,4791,538,5549,3569,4791,541,5549,3569,4791,540,5549,3569,4791,562,5549,1261,4965,534,5549,1261,4965,556,5549,1305,4965,603,5549,1630,5925,675,5549,1342,6633,653,5549,1630,5925,629,5549,1639,5029,636,5549,2173,5159,649,5549,1753,5135,650,5549,1647,4965,635,5549,1647,4965,640,5549,1743,5104,665,5549,1873,5159,681,5549,1305,4965,618,5549,2201,5845
42.9984566099+-76.1306008503,43.0479517596+-76.1505944348,42.9984566099+-76.1306008503,43.0479517596+-76.1505944348,10.12,4.43,40.80,5.87,618,7131,2480,9870,619,7131,2480,9870,606,7131,2530,10621,608,7131,2521,7317,660,7131,2521,7317,571,7131,2521,7317,585,7131,2521,7317,586,7131,2521,7317,593,7131,2521,7317,597,7131,2429,11171,594,7131,2371,11187,634,7131,2720,11231,712,7131,2643,9870,675,7131,2483,9870,660,7131,3063,11333,668,7131,3063,11333,660,7131,3503,6946,663,7131,3503,6946,663,7131,2941,7317,665,7131,3063,11333,688,7131,2641,8031,705,7131,2643,9870,650,7131,2729,7233
42.9925990019+-76.1419735103,43.0479517596+-76.1505944348,42.9925990019+-76.1419735103,43.0479517596+-76.1505944348,12.75,4.50,34.32,4.16,742,7250,1916,6584,766,7250,2059,6688,729,7250,2059,6688,727,7250,2059,6688,833,7250,1586,6688,688,7250,1586,6688,695,7250,1586,6688,689,7250,1586,6688,705,7250,1586,6688,693,7250,1586,6688,719,7250,1646,6688,782,7250,1687,8373,849,7250,2161,6688,820,7250,2059,6688,799,7250,2059,6688,807,7250,2059,6688,833,7250,2059,6688,828,7250,2059,6688,809,7250,2059,6688,826,7250,2435,9498,846,7250,2689,10524,867,7250,1646,6688,786,7250,1794,6604
