OriginIDGen,DestIDGen,OriginIDChar,DestIDChar,D_TwelveAM.Time,D_TwelveAM.Distance,T_TwelveAM.Time,T_TwelveAM.Distance,D_OneAM.Time,D_OneAM.Distance,T_OneAM.Time,T_OneAM.Distance,D_TwoAM.Time,D_TwoAM.Distance,T_TwoAM.Time,T_TwoAM.Distance,D_ThreeAM.Time,D_ThreeAM.Distance,T_ThreeAM.Time,T_ThreeAM.Distance,D_FourAM.Time,D_FourAM.Distance,T_FourAM.Time,T_FourAM.Distance,D_WeekDay_Winter.D_FivePM.Time,D_WeekDay_Winter.D_FivePM.Distance,T_FiveAM.Time,T_FiveAM.Distance,D_SixAM.Time,D_SixAM.Distance,T_SixAM.Time,T_SixAM.Distance,D_SevenAM.Time,D_SevenAM.Distance,T_SevenAM.Time,T_SevenAM.Distance,D_EightAM.Time,D_EightAM.Distance,T_EightAM.Time,T_EightAM.Distance,D_NineAM.Time,D_NineAM.Distance,T_NineAM.Time,T_NineAM.Distance,D_TenAM.Time,D_TenAM.Distance,T_TenAM.Time,T_TenAM.Distance,D_ElevenAM.Time,D_ElevenAM.Distance,T_ElevenAM.Time,T_ElevenAM.Distance,D_TwelvePM.Time,D_TwelvePM.Distance,T_TwelvePM.Time,T_TwelvePM.Distance,D_OnePM.Time,D_OnePM.Distance,T_OnePM.Time,T_OnePM.Distance,D_TwoPM.Time,D_TwoPM.Distance,T_TwoPM.Time,T_TwoPM.Distance,D_ThreePM.Time,D_ThreePM.Distance,T_ThreePM.Time,T_ThreePM.Distance,D_FourPM.Time,D_FourPM.Distance,T_FourPM.Time,T_FourPM.Distance,D_WeekDay_Winter_A.D_FivePM.Time,D_WeekDay_Winter_A.D_FivePM.Distance,T_FivePM.Time,T_FivePM.Distance,D_SixPM.Time,D_SixPM.Distance,T_SixPM.Time,T_SixPM.Distance,D_SevenPM.Time,D_SevenPM.Distance,T_SevenPM.Time,T_SevenPM.Distance,D_EightPM.Time,D_EightPM.Distance,T_EightPM.Time,T_EightPM.Distance,D_NinePM.Time,D_NinePM.Distance,T_NinePM.Time,T_NinePM.Distance,D_TenPM.Time,D_TenPM.Distance,T_TenPM.Time,T_TenPM.Distance,D_ElevenPM.Time,D_ElevenPM.Distance,T_ElevenPM.Time,T_ElevenPM.Distance
43.0525743062+-76.1716089827,43.0479517596+-76.1505944348,43.0525743062+-76.1716089827,43.0479517596+-76.1505944348,8.42,1.56,10.33,1.58,485,2511,1608,2122,482,2511,1608,2122,465,2511,1608,2122,449,2511,620,2545,556,2511,1608,2122,480,2511,1608,2122,467,2511,1608,2122,462,2511,1608,2122,476,2511,1608,2122,459,2511,1842,6802,462,2511,620,2545,474,2718,722,2545,499,2718,722,2545,520,2511,789,2545,527,2511,722,2545,547,2511,722,2545,556,2511,722,2545,565,2511,635,2545,562,2511,672,2545,549,2511,1743,4950,554,2718,755,2545,569,2718,635,2545,507,2511,1558,2160
43.0558250842+-76.1483515279,43.0479517596+-76.1505944348,43.0558250842+-76.1483515279,43.0479517596+-76.1505944348,6.60,0.92,12.70,1.16,364,1476,853,1129,356,1476,853,1129,367,1476,548,1670,401,1476,853,1129,391,1476,853,1129,446,1476,853,1129,364,1476,853,1129,354,1476,853,1129,359,1476,853,1129,348,1476,853,1129,342,1476,762,1875,344,1476,765,1911,370,1476,548,1670,385,1476,701,1670,393,1476,853,1129,383,1476,853,1129,391,1476,853,1129,391,1476,771,1630,407,1476,701,1670,424,1476,853,1129,407,1476,853,1129,419,1476,793,1872,419,1476,586,1670
43.0540094832+-76.1353937333,43.0479517596+-76.1505944348,43.0540094832+-76.1353937333,43.0479517596+-76.1505944348,7.32,1.37,12.87,1.26,409,2205,1352,1771,405,2205,1352,1771,408,2205,1352,1771,423,2205,1064,2261,449,2205,934,2504,444,2078,1352,1771,394,2205,1352,1771,379,2205,1352,1771,391,2205,1352,1771,354,2205,1352,1771,375,2205,1069,2228,402,2205,688,2032,421,2205,684,2032,444,2205,1352,1771,448,2205,1018,2261,457,2205,1352,1771,449,2205,1139,2228,446,2205,1018,2261,466,2205,1352,1771,481,2205,688,2032,469,2205,1005,2542,475,2205,688,2032,453,2205,692,2032
43.0500708662+-76.1910868616,43.0479517596+-76.1505944348,43.0500708662+-76.1910868616,43.0479517596+-76.1505944348,10.83,2.58,26.67,3.26,617,4148,1005,4554,621,4148,1005,4554,595,4148,2777,3783,585,4148,1005,4554,704,4148,1423,5266,631,4148,2777,3783,615,4148,2777,3783,581,4148,2777,3783,607,4148,2777,3783,583,4148,1316,5056,605,4148,1198,5362,592,4221,1184,4554,611,4221,1184,4554,651,4148,1214,4554,659,4148,1184,4554,691,4148,1184,4554,704,4148,1184,4554,708,4148,1019,4554,696,4148,1020,4554,713,4148,1195,5787,685,4221,1140,4554,682,4221,1019,4554,648,4148,1483,5267
43.044129579+-76.1823964045,43.0479517596+-76.1505944348,43.044129579+-76.1823964045,43.0479517596+-76.1505944348,10.50,2.12,24.38,2.36,587,3408,1580,4912,607,3408,2282,3173,577,3408,2282,3173,576,3408,1580,4912,635,3408,1324,3817,575,3408,2282,3173,587,3408,2282,3173,574,3408,2282,3173,568,3408,2282,3173,546,3408,1167,3894,541,3408,1099,3912,535,3408,1099,3912,572,3408,1099,3912,582,3408,1777,4913,591,3408,2282,3173,626,3408,1737,4912,635,3408,1673,3912,641,3408,1595,4912,610,3408,1605,4913,642,3408,1123,4338,660,3408,1396,3933,721,3408,1373,3912,620,3408,1384,3817
43.0460831516+-76.1635605975,43.0479517596+-76.1505944348,43.0460831516+-76.1635605975,43.0479517596+-76.1505944348,6.75,0.95,16.92,0.83,378,1535,1015,1335,385,1535,1015,1335,358,1535,1217,2209,357,1535,1015,1335,416,1535,1015,1335,376,1535,1015,1335,374,1535,1015,1335,367,1535,1015,1335,373,1535,1015,1335,349,1535,1015,1335,341,1535,911,2404,330,1535,938,2421,356,1535,817,2493,372,1535,1015,1335,380,1535,1015,1335,403,1535,1015,1335,416,1535,1015,1335,417,1535,1015,1335,397,1535,1252,2420,421,1535,1015,1335,435,1535,982,1764,499,1535,1015,1335,411,1535,1217,2209
43.0479517596+-76.1505944348,43.0479517596+-76.1505944348,43.0479517596+-76.1505944348,43.0479517596+-76.1505944348,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43.0485939319+-76.1346312928,43.0479517596+-76.1505944348,43.0485939319+-76.1346312928,43.0479517596+-76.1505944348,5.48,0.95,17.20,0.87,312,1532,1032,1396,306,1532,1032,1396,302,1532,614,1681,295,1532,1032,1396,338,1532,635,1977,368,1532,1032,1396,307,1532,1032,1396,295,1532,1032,1396,318,1532,1032,1396,300,1532,1032,1396,314,1532,650,1977,313,1532,532,1681,336,1532,532,1681,340,1532,614,1681,346,1532,595,1622,346,1532,697,1977,338,1532,595,1622,350,1532,1032,1396,359,1532,614,1681,363,1532,658,1660,353,1532,595,1622,363,1532,614,1681,337,1532,614,1681
43.047917346+-76.1203701319,43.0479517596+-76.1505944348,43.047917346+-76.1203701319,43.0479517596+-76.1505944348,8.17,1.73,15.92,1.79,490,2782,955,2885,467,2782,1916,2629,472,2782,1916,2629,500,2782,1049,3247,529,2782,929,3247,517,3157,1916,2629,485,2782,1916,2629,464,2782,1916,2629,480,2782,1916,2629,501,2782,1544,4525,480,2782,835,2885,474,2782,835,2885,498,2782,835,2885,522,2782,955,2885,517,2782,955,2885,522,2782,1049,3247,529,2782,955,2885,533,2782,955,2885,534,2782,955,2885,538,2782,955,2885,501,2782,1049,3247,532,2782,955,2885,505,2782,955,2885
43.050891953+-76.1096448486,43.0479517596+-76.1505944348,43.050891953+-76.1096448486,43.0479517596+-76.1505944348,10.57,2.49,23.05,2.60,612,4000,1383,4188,592,4000,1383,4188,582,4000,2639,3608,589,4000,1479,4465,666,4000,1335,4465,616,4000,2639,3608,594,4000,2639,3608,575,4000,2639,3608,580,4000,2639,3608,592,4000,1741,5287,576,4000,1247,4188,589,4000,1467,4465,617,4000,1247,4188,657,4000,2284,6954,650,4000,1383,4188,656,4000,1383,4188,666,4000,1479,4465,675,4000,1383,4188,683,4000,1383,4188,701,4000,1383,4188,684,4000,1467,4465,689,4000,1383,4188,663,4000,1383,4188
