TAX_ID,Problems,lat,lon
31150011300000130240000000,Potential Lead Paint,-76.19987354,43.05626462
31150009000000040260000000,Potential Lead Paint,-76.19987297,43.02732123
31150009000000030070000000,Potential Lead Paint,-76.19986746,43.02629839
31150011300000120030000000,Potential Lead Paint,-76.19986423,43.05726601
31150011300000110190000000,Potential Lead Paint,-76.1998577,43.05764516
31150011300000120160000000,Potential Lead Paint,-76.1998315,43.05700753
31150009000000030160000000,Potential Lead Paint,-76.19982551,43.02540841
31150009000000090270000000,Potential Lead Paint,-76.19981818,43.02405957
31150011300000130030000000,Potential Lead Paint,-76.1998151,43.05658
31150009000000030080000000,Potential Lead Paint,-76.1998145,43.02653568
31150009000000090040000000,Potential Lead Paint,-76.19978447,43.02469915
31150011300000130230000000,Potential Lead Paint,-76.19976226,43.05630593
31150011300000120040000000,Potential Lead Paint,-76.19975407,43.0573069
31150011300000110180000000,Potential Lead Paint,-76.19973252,43.05769163
31150011300000110110000000,Potential Lead Paint,-76.19972691,43.0582927
31150011200000010010000000,Potential Lead Paint,-76.19972072,43.05511835
31150011300000120150000000,Potential Lead Paint,-76.199718,43.05704967
31150011300000130040000000,Potential Lead Paint,-76.19970272,43.05662173
31150011300000110170000000,Potential Lead Paint,-76.19968391,43.05782548
31150009000000100060000000,Potential Lead Paint,-76.19967462,43.02284039
31150011300000130220000000,Potential Lead Paint,-76.19965101,43.05634724
31150011300000110120000000,Potential Lead Paint,-76.19965006,43.05820199
31150011300000120050000000,Potential Lead Paint,-76.19964391,43.0573478
31150011300000120140000000,Potential Lead Paint,-76.19959949,43.05709367
31150009000000030090000000,Potential Lead Paint,-76.1995981,43.02675919
31150011300000130050000000,Potential Lead Paint,-76.19958922,43.05666386
31150011300000130210000000,Potential Lead Paint Vacant,-76.19953863,43.05638896
31150011300000120060000000,Potential Lead Paint,-76.19953375,43.0573887
31150009000000030150000000,Potential Lead Paint,-76.19953272,43.02554079
31150009000000090050000000,Potential Lead Paint Vacant,-76.19952475,43.02482128
31150011300000110140000000,Potential Lead Paint,-76.19952062,43.05799741
31150009000000040250000000,Potential Lead Paint,-76.19950701,43.02739537
31150011300000120130000000,Potential Lead Paint,-76.19947932,43.05713828
31150011300000130060000000,Potential Lead Paint,-76.19947573,43.056706
31150011300000110160000000,Potential Lead Paint,-76.19947237,43.05778161
31150011200000010020000000,Potential Lead Paint Dilapidated Vacant,-76.19943832,43.05537138
31150011300000130200000000,Potential Lead Paint,-76.19942513,43.05643109
31150011300000120070000000,Potential Lead Paint,-76.19939689,43.05743951
31150011300000120120000000,Potential Lead Paint Dilapidated Vacant,-76.19936249,43.05718166
31150011300000130070000000,Potential Lead Paint,-76.19935388,43.05675123
31150011300000100010000000,Potential Lead Paint Dilapidated Vacant,-76.19935007,43.0591456
31150009000000100030000000,Potential Lead Paint,-76.19932717,43.02345994
31150009000000030110000000,Potential Lead Paint,-76.19932547,43.02646112
