Row Labels,Affordable Housing,Alcohol Commercial,Auto Commercial,Banks and Lending,Care Commercial,Community Safety,Convenience Commercial,Education,Entertainment,Food Commercial,Gasoline Commercial,Health and Wellness,Hotel and Motel,Industrial,Infrastructure,Legal,Manufacturing,Mixed Use,Office Space,Public Space and Services,Religious,Residential,Retail Commercial,Shopping Center,Storage Commercial,Vacant Building,Grand Total,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars
19.00,0.00,1.00,6.00,1.00,1.00,1.00,2.00,1.00,1.00,2.00,3.00,2.00,0.00,0.00,4.00,0.00,0.00,23.00,4.00,5.00,3.00,1581.00,1.00,0.00,3.00,2.00,1647.00,2890.00,204.00,0.65,0.06,0.58,0.06,0.11,0.05,1813.00,39945.00,8402.00,47916.00,5254.00
20.00,0.00,4.00,13.00,1.00,0.00,0.00,1.00,2.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,31.00,2.00,3.00,5.00,685.00,1.00,0.00,3.00,13.00,771.00,1679.00,158.00,0.61,0.06,0.56,0.06,0.08,0.05,948.00,30524.00,4294.00,37275.00,5244.00
21.01,0.00,6.00,46.00,1.00,0.00,2.00,4.00,4.00,4.00,7.00,3.00,4.00,0.00,0.00,4.00,0.00,2.00,53.00,9.00,6.00,11.00,742.00,2.00,0.00,20.00,38.00,968.00,2078.00,246.00,0.65,0.07,0.53,0.06,0.19,0.06,1072.00,22444.00,7645.00,34368.00,5218.00
23.00,5.00,1.00,1.00,0.00,0.00,1.00,4.00,0.00,1.00,18.00,2.00,19.00,0.00,0.00,1.00,0.00,2.00,69.00,5.00,1.00,4.00,196.00,10.00,1.00,0.00,3.00,344.00,1449.00,166.00,0.47,0.06,0.42,0.06,0.11,0.06,938.00,19537.00,3574.00,35465.00,16363.00
24.00,0.00,2.00,4.00,0.00,0.00,1.00,3.00,1.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,30.00,2.00,4.00,1.00,431.00,2.00,0.00,1.00,16.00,505.00,1318.00,205.00,0.61,0.07,0.53,0.08,0.13,0.07,751.00,22036.00,4422.00,25843.00,3377.00
27.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,6.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,3.00,6.00,594.00,0.00,0.00,0.00,5.00,647.00,1650.00,165.00,0.66,0.07,0.62,0.06,0.06,0.04,897.00,33317.00,8260.00,46537.00,5024.00
29.01,0.00,2.00,9.00,1.00,0.00,0.00,4.00,3.00,4.00,7.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,29.00,3.00,5.00,5.00,1118.00,4.00,1.00,4.00,15.00,1216.00,2235.00,216.00,0.81,0.04,0.76,0.04,0.06,0.04,1330.00,50323.00,9981.00,58051.00,10579.00
30.00,2.00,3.00,9.00,2.00,0.00,2.00,5.00,4.00,6.00,1.00,0.00,1.00,0.00,0.00,4.00,0.00,4.00,29.00,11.00,6.00,3.00,484.00,1.00,0.00,16.00,25.00,618.00,1306.00,145.00,0.41,0.09,0.33,0.08,0.20,0.08,842.00,12799.00,2823.00,16835.00,2731.00
32.00,1.00,21.00,38.00,17.00,1.00,6.00,2.00,5.00,8.00,50.00,1.00,5.00,12.00,0.00,12.00,7.00,1.00,72.00,91.00,35.00,7.00,49.00,32.00,0.00,2.00,35.00,510.00,2138.00,565.00,0.38,0.11,0.35,0.10,0.08,0.06,1059.00,26696.00,28749.00,52254.00,15433.00
34.00,5.00,0.00,12.00,0.00,0.00,1.00,3.00,5.00,5.00,6.00,0.00,14.00,2.00,0.00,2.00,1.00,3.00,19.00,5.00,9.00,3.00,230.00,5.00,0.00,15.00,10.00,355.00,1111.00,208.00,0.45,0.10,0.41,0.11,0.08,0.06,633.00,14969.00,4971.00,22970.00,5154.00
35.00,6.00,2.00,5.00,1.00,0.00,2.00,2.00,2.00,0.00,5.00,1.00,9.00,0.00,0.00,2.00,0.00,5.00,24.00,1.00,5.00,5.00,595.00,5.00,0.00,13.00,7.00,697.00,1713.00,234.00,0.58,0.10,0.50,0.10,0.14,0.08,947.00,17863.00,4674.00,35834.00,7625.00
36.01,0.00,0.00,6.00,0.00,0.00,1.00,3.00,0.00,6.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,3.00,0.00,2.00,731.00,1.00,0.00,6.00,5.00,775.00,1760.00,181.00,0.58,0.06,0.47,0.06,0.20,0.07,867.00,25750.00,14585.00,36577.00,5643.00
36.02,0.00,5.00,5.00,1.00,0.00,1.00,0.00,5.00,4.00,17.00,2.00,10.00,1.00,0.00,3.00,0.00,0.00,18.00,2.00,4.00,0.00,835.00,16.00,1.00,2.00,7.00,939.00,1741.00,145.00,0.70,0.05,0.62,0.05,0.12,0.05,957.00,41676.00,6519.00,48475.00,4779.00
38.00,0.00,1.00,2.00,0.00,1.00,1.00,4.00,1.00,2.00,5.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,8.00,0.00,5.00,1.00,691.00,2.00,0.00,0.00,3.00,730.00,1883.00,216.00,0.52,0.09,0.39,0.08,0.23,0.09,936.00,25682.00,9498.00,32565.00,6614.00
39.00,5.00,1.00,2.00,0.00,0.00,1.00,5.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,15.00,0.00,7.00,7.00,905.00,1.00,0.00,0.00,10.00,962.00,2401.00,251.00,0.47,0.07,0.36,0.06,0.24,0.06,1242.00,19758.00,6165.00,28839.00,4166.00
40.00,3.00,0.00,2.00,0.00,1.00,1.00,4.00,2.00,8.00,3.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,26.00,2.00,5.00,5.00,369.00,4.00,0.00,2.00,12.00,452.00,1201.00,260.00,0.54,0.11,0.47,0.10,0.14,0.09,529.00,29438.00,12507.00,40729.00,11965.00
42.00,1.00,3.00,5.00,0.00,0.00,0.00,3.00,2.00,5.00,2.00,2.00,2.00,0.00,0.00,7.00,0.00,8.00,16.00,4.00,10.00,6.00,671.00,3.00,0.00,8.00,9.00,767.00,1444.00,121.00,0.55,0.06,0.34,0.05,0.39,0.08,933.00,11744.00,1463.00,16344.00,2516.00
43.01,0.00,4.00,5.00,2.00,0.00,1.00,2.00,10.00,0.00,2.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,4.00,0.00,1.00,0.00,117.00,2.00,0.00,0.00,0.00,159.00,1512.00,191.00,0.34,0.08,0.27,0.08,0.21,0.09,528.00,9268.00,1054.00,23893.00,14003.00
43.02,9.00,3.00,5.00,5.00,3.00,2.00,2.00,56.00,2.00,26.00,0.00,5.00,1.00,0.00,3.00,0.00,0.00,13.00,1.00,17.00,4.00,92.00,6.00,1.00,0.00,1.00,257.00,6678.00,532.00,0.32,0.04,0.24,0.03,0.24,0.07,475.00,9171.00,1324.00,12762.00,2994.00
44.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,1.00,507.00,0.00,0.00,0.00,0.00,617.00,1956.00,202.00,0.55,0.07,0.53,0.07,0.04,0.03,637.00,19844.00,8884.00,60753.00,10390.00
45.00,78.00,2.00,0.00,1.00,1.00,0.00,6.00,0.00,2.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,11.00,0.00,3.00,5.00,1422.00,3.00,0.00,1.00,3.00,1547.00,3687.00,442.00,0.65,0.09,0.62,0.08,0.05,0.03,1503.00,48380.00,13909.00,60331.00,7473.00
46.00,0.00,0.00,2.00,0.00,6.00,0.00,1.00,12.00,1.00,1.00,1.00,7.00,0.00,0.00,5.00,0.00,0.00,2.00,3.00,4.00,7.00,1892.00,2.00,0.00,0.00,5.00,1951.00,4479.00,327.00,0.59,0.05,0.55,0.06,0.08,0.04,1984.00,73000.00,20521.00,100256.00,17979.00
48.00,0.00,1.00,0.00,1.00,0.00,0.00,2.00,0.00,3.00,2.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,661.00,0.00,1.00,0.00,0.00,674.00,1300.00,124.00,0.61,0.07,0.60,0.07,0.02,0.02,664.00,65278.00,11819.00,75381.00,7083.00
49.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,2.00,0.00,1.00,1.00,589.00,0.00,0.00,0.00,0.00,597.00,1018.00,133.00,0.54,0.08,0.50,0.09,0.07,0.06,531.00,39688.00,11871.00,55202.00,9440.00
50.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,1.00,1004.00,0.00,0.00,0.00,0.00,1014.00,2139.00,145.00,0.79,0.05,0.71,0.05,0.10,0.04,1064.00,66371.00,8683.00,84146.00,9067.00
51.00,0.00,1.00,1.00,1.00,0.00,0.00,3.00,2.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,3.00,5.00,863.00,4.00,1.00,0.00,15.00,913.00,1576.00,171.00,0.52,0.06,0.44,0.06,0.16,0.07,840.00,24394.00,6017.00,34822.00,4493.00
52.00,2.00,1.00,0.00,1.00,1.00,0.00,7.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,4.00,10.00,700.00,1.00,0.00,0.00,6.00,755.00,1492.00,223.00,0.49,0.06,0.36,0.06,0.26,0.09,668.00,22708.00,5034.00,34021.00,6712.00
53.00,3.00,0.00,5.00,0.00,2.00,0.00,6.00,2.00,5.00,1.00,1.00,1.00,0.00,0.00,2.00,0.00,1.00,7.00,0.00,7.00,8.00,395.00,0.00,0.00,2.00,10.00,458.00,1212.00,163.00,0.42,0.08,0.31,0.07,0.25,0.10,554.00,21382.00,5436.00,29725.00,5156.00
54.00,1.00,1.00,3.00,1.00,1.00,2.00,4.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,7.00,10.00,970.00,2.00,0.00,2.00,14.00,1034.00,2096.00,168.00,0.53,0.07,0.37,0.07,0.30,0.10,873.00,29938.00,9913.00,49676.00,20160.00
55.00,0.00,1.00,12.00,0.00,0.00,0.00,1.00,3.00,1.00,2.00,0.00,1.00,0.00,0.00,4.00,0.00,4.00,11.00,3.00,6.00,1.00,800.00,1.00,0.00,31.00,12.00,894.00,3115.00,318.00,0.63,0.07,0.58,0.07,0.07,0.04,1780.00,28953.00,1948.00,33992.00,4493.00
56.01,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,5.00,4.00,714.00,0.00,0.00,0.00,0.00,733.00,1205.00,84.00,0.72,0.06,0.69,0.06,0.05,0.03,690.00,79070.00,5741.00,101697.00,22190.00
56.02,0.00,0.00,0.00,0.00,2.00,0.00,0.00,133.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.00,0.00,0.00,0.00,0.00,171.00,3725.00,441.00,0.37,0.04,0.32,0.04,0.15,0.05,198.00,13304.00,15193.00,38385.00,15255.00
57.00,0.00,2.00,2.00,0.00,0.00,0.00,3.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,3.00,6.00,745.00,2.00,0.00,0.00,9.00,784.00,1352.00,141.00,0.63,0.08,0.55,0.08,0.13,0.05,723.00,36354.00,11621.00,44506.00,5753.00
58.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,3.00,7.00,934.00,0.00,0.00,1.00,1.00,955.00,1767.00,197.00,0.54,0.06,0.43,0.06,0.21,0.08,836.00,29014.00,2913.00,35750.00,5385.00
59.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,5.00,647.00,1.00,0.00,0.00,9.00,671.00,1327.00,180.00,0.50,0.08,0.36,0.07,0.29,0.10,559.00,29297.00,9934.00,30564.00,5923.00
60.00,0.00,3.00,2.00,0.00,0.00,0.00,3.00,2.00,2.00,8.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,6.00,10.00,1429.00,3.00,1.00,3.00,5.00,1495.00,2865.00,222.00,0.62,0.06,0.56,0.06,0.09,0.04,1541.00,33720.00,7381.00,53426.00,6764.00
61.01,0.00,5.00,9.00,1.00,4.00,3.00,5.00,0.00,0.00,11.00,3.00,5.00,1.00,0.00,3.00,1.00,0.00,20.00,2.00,6.00,7.00,1000.00,16.00,2.00,1.00,14.00,1119.00,3041.00,277.00,0.48,0.06,0.44,0.06,0.08,0.05,1422.00,28933.00,4167.00,36939.00,4209.00
61.02,0.00,0.00,6.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,2.00,8.00,0.00,1.00,1.00,1.00,0.00,1.00,11.00,1.00,0.00,83.00,0.00,0.00,1.00,1.00,121.00,1753.00,150.00,0.50,0.07,0.43,0.07,0.14,0.12,1330.00,21744.00,2215.00,41784.00,12715.00
61.03,1.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,1.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,4.00,1.00,1112.00,1.00,0.00,0.00,3.00,1133.00,2082.00,149.00,0.73,0.04,0.68,0.05,0.06,0.04,1054.00,64565.00,5239.00,74034.00,9506.00
Grand Total,230.00,108.00,332.00,49.00,36.00,36.00,139.00,288.00,99.00,280.00,34.00,147.00,23.00,1.00,106.00,13.00,52.00,1090.00,210.00,261.00,199.00,40120.00,177.00,12.00,227.00,512.00,44781.00,,,,,,,,,,,,,
