objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,Count
79999,79999,66,345,EfaUnvSW,E.Fayette St & University Ave,,43.04845000000,-76.13447000000,,1
81665,81665,66,2157,EgeUnvSW,E.Genesee St & University Ave,,43.04685700000,-76.13442300000,,1
84009,84009,66,444,JamOakSE,James St & Oak St,,43.05925600000,-76.13440300000,,1
85937,85937,66,8004,ArcGymEX,Archbold Gymnasium,,43.03616700000,-76.13439100000,,1
82607,82607,66,9569,UniHarNW,University Ave & Harrison St,,43.04430500000,-76.13439000000,,1
80286,80286,66,9547,ArcGymLM,Archbold Gymnasium,,43.03637300000,-76.13437900000,,1
85234,85234,66,10806,RugDewSW,Rugby Rd & Dewitt St,,43.06698200000,-76.13424200000,,1
85254,85254,66,2160,EgeUnvNE,E.Genesee St & University Ave,,43.04691000000,-76.13417600000,,1
81039,81039,66,351,EfaUnvNE,E.Fayette St & University Ave,,43.04849500000,-76.13414900000,,1
82913,82913,66,10718,RugDewNE,Rugby Rd & Dewitt St,,43.06704400000,-76.13399500000,,1
84254,84254,66,8367,EbrAinWX,E Brighton Av & Ainsley Dr,E BRIGHTON AVE & AINSLEY DR,43.01089500000,-76.13371700000,,1
81146,81146,66,8393,JavPhsWX,Jamesville Av & Percy Hughes School,,43.02221900000,-76.13367400000,,1
81402,81402,66,6681,GrdPleNE,Grant Blvd & Pleasantview Ave,,43.07260400000,-76.13345500000,,1
84479,84479,66,8387,JavPhsEX,Jamesville Rd & PercyHughes School,,43.02195900000,-76.13339100000,,1
82957,82957,66,17,ThuAldSX,Thurber St & Alden St,,43.01850400000,-76.13333500000,,1
82640,82640,66,16337,EcoNhuNE,E ColvinSt & N Hughes Pl,,43.02569200000,-76.13333500000,,1
79542,79542,66,5982,EcoHgpSE,E.Colvin St & Hughes Pl,,43.02563900000,-76.13332300000,,1
80977,80977,66,10124,ThuAldNW,Thurber St & Alden St,,43.01858400000,-76.13322300000,,1
84083,84083,66,6568,OakHeySE,Oak St & Hawley Ave,,43.05517200000,-76.13321200000,,1
82690,82690,66,6545,LodOakSX,Lodi St & Oak St,,43.05246000000,-76.13320400000,,1
85235,85235,66,10807,RugSedSW,Rugby Rd & Sedgwick Dr,,43.06701700000,-76.13311900000,,1
84580,84580,66,6562,HeyOakNE,Hawley Ave & Oak St,,43.05527100000,-76.13311300000,,1
82700,82700,66,6543,OakLodNW,Oak St & Lodi St,,43.05249600000,-76.13309300000,,1
85153,85153,66,6063,JavSitNW,Jamesville Ave & Smith Ln,,43.02154700000,-76.13307100000,,1
79571,79571,66,14625,OakLodNE,Oak St & Lodi St,,43.05276400000,-76.13306800000,,1
82722,82722,66,12553,WavWalSW,Waverly Ave & Walnut Pl,,43.04049900000,-76.13303900000,,1
82910,82910,66,10717,SedRu2NW,Sedgwick Dr & Rugby Rd,,43.06710600000,-76.13303200000,,1
84255,84255,66,8368,EbrEglNW,E Brighton Ave & E Glen Ave,E BRIGHTON AVE & UNNAMED STREET,43.00959600000,-76.13301600000,,1
82705,82705,66,6541,LodOakNE,Lodi St & Oak St,,43.05238800000,-76.13298200000,,1
80041,80041,66,5074,JamRICLM,James St & Royal Ins Co,,43.06007800000,-76.13287100000,,1
82166,82166,66,15512,JavVinNW,Jamesville Ave & Vincent St,,43.02123400000,-76.13282400000,,1
80372,80372,66,9487,BirdLbLM,Bird Library,University Ave,43.03941600000,-76.13280700000,,1
85151,85151,66,6066,ThrAldNE,Thurber St & Alden St,,43.01867300000,-76.13280400000,,1
