objectid,ntm_stop_id,ntm_feed_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
79716,79716,66,9753,104AlbSW,Route 104 & Albright Rd,,43.4791,-76.333081,
84302,84302,66,10130,GenOswNW,Genesee St & Oswego Rd,,43.158685,-76.333002,
80967,80967,66,10129,OswGenNE,Oswego Rd & Genesee St,,43.159223,-76.332768,
79955,79955,66,15855,104AlbNX,Hwy 104 & Albright Rd,,43.479163,-76.332758,
83570,83570,66,3074,ElzOseNE,Elizabeth St & Oswego Rd,,43.15984,-76.332744,
79983,79983,66,3029,OseEgeNW,Oswego Rd & E.Genesee St,,43.158829,-76.332718,
84098,84098,66,2836,HowRmnNW,Howlett Hill Rd & Roman Dr,,42.997023,-76.332554,
80024,80024,66,16745,HowRomEX,Howlett Hill Rd & Roman Dr,,42.996826,-76.33253,
84308,84308,66,9318,Dow31SX,31Downer St,DOWNER ST & CANTON ST,43.152248,-76.332327,
80202,80202,66,3007,SycWtrSE,Syracuse St & Water St,,43.155436,-76.331527,
84685,84685,66,9297,SycTapNW,Syracuse St & Tappan St,,43.155275,-76.331515,
80204,80204,66,3001,SycGroNW,Syracuse St & Grove St,,43.154183,-76.330834,
81152,81152,66,3194,EoeVirSW,E.Oneida St & Virginia St,,43.162367,-76.330708,
79954,79954,66,15854,104104NE,Hwy 104 & Rte 104B,,43.479209,-76.330672,
82787,82787,66,16385,WgeHamSW,W Genesee Tpke & Hambletonian Way,,43.036574,-76.330518,
84718,84718,66,2999,SycGroSE,Syracuse St & Grove St,,43.153789,-76.3305,
83329,83329,66,15822,Rt3r49SW,Route 3 & Route 49,,43.336397,-76.330325,
84722,84722,66,2993,DowSycSW,Downer St & Syracuse St,,43.152365,-76.330152,
84213,84213,66,9785,Rt3R49NE,Route 3 & Route 49,,43.33645,-76.330102,
82389,82389,66,16747,HowDubEX,Howlett Hill Rd & Dunbar Woods Rd,,43.008993,-76.330053,
85736,85736,66,3086,VirElzSE,Virginia St & Elizabeth St,,43.160361,-76.33005,
80761,80761,66,2829,HowFalNW,Howlett Hill Rd & Falls Rd,,43.003434,-76.330047,
80027,80027,66,16746,HowFalSE,Howlett Hill Rd & Falls Rd,,43.003148,-76.329972,
85398,85398,66,18012,DubHowNX,Dunbar Woods Rd & Howlett Hill Rd,DUNBAR WOODS RD,43.009271,-76.329955,
84720,84720,66,2991,SycDowNW,Syracuse St & Downer St,,43.152679,-76.329917,
84719,84719,66,2990,SycDowSE,Syracuse St & Downer St,,43.152196,-76.329509,
81158,81158,66,3198,EoeAlpSW,E.Oneida St & Albert Palmer Ln,,43.162421,-76.329224,
79715,79715,66,9755,104SopSW,Route 104 & Soper Mills Rd,,43.479238,-76.328461,
81588,81588,66,2983,SycMilNW,Syracuse St & Mildred Ave,,43.150361,-76.328444,
81589,81589,66,2982,SycMilEX,Syracuse St & Mildred Ave,,43.15011,-76.328184,
79961,79961,66,15853,104SprNX,Hwy 104 & Soper Mills W,,43.47931,-76.328126,
84681,84681,66,9292,SycNobEX,Syracuse St & Nobles Plaza,,43.149179,-76.327627,
84977,84977,66,17887,SycNobWX,Syracuse St & Across from Nobles Plaza,,43.148696,-76.327466,
81228,81228,66,3202,EoeMecSW,E.Oneida St & Mechanic St,,43.162521,-76.327309,
82701,82701,66,3173,EgeMecNE,E.Genesee St & Mechanic St,,43.159334,-76.326378,
85052,85052,66,3317,CthHroWX,County Hwy 57 & Harris Rd,,43.249007,-76.32611,
80214,80214,66,3315,CthHroSE,County Hwy 57 & Harris Rd,,43.248854,-76.325924,
84688,84688,66,9298,SycVbuWX,Syracuse St & Van Buren Rd,,43.144203,-76.325014,
84529,84529,66,9291,SycVbuNE,Syracuse St & Van Buren Rd,,43.144015,-76.324643,
84530,84530,66,9296,EoeSpuSW,E Oneida St & Spruce St,,43.162639,-76.324379,
82703,82703,66,3174,SpuEgeNW,Spruce St & E.Genesee St,,43.160455,-76.323685,
79714,79714,66,9756,104BooSW,Route 104 & Boothe Rd,,43.479456,-76.323271,
79960,79960,66,15852,104BooNE,Hwy 104 & Booth Rd,,43.47951,-76.32301,
84584,84584,66,3324,CthDixNW,County Hwy 57 & Dix Rd,,43.242015,-76.321412,
79959,79959,66,15851,104SopNX,Hwy 104 & Soper Mills,,43.479591,-76.321396,
85051,85051,66,3314,CthDixEX,County Hwy 57 & Dix Rd,,43.241765,-76.321164,
84976,84976,66,17884,Map7700,7700 Maple Rd,,43.142657,-76.319463,
83328,83328,66,15823,Rt3RedSW,Route 3 & Red Sch House,,43.340299,-76.319374,
84967,84967,66,17888,Map7695,7695 Maple Rd,7695 MAPLE RD,43.142505,-76.318994,
84212,84212,66,9784,Rt3RedNE,Route 3 & Red School House Rd,,43.340541,-76.318879,
80050,80050,66,935,HowDubNX,Howlett Hill Rd & Dunbar Woods Rd,,43.012697,-76.318365,
80044,80044,66,938,DubHowSE,Dunbar Woods Rd & Howlett Hill Rd,,43.012635,-76.318353,
85185,85185,66,2950,MapMorNE,Maple Rd & Morgan Rd,,43.141933,-76.316818,
81214,81214,66,9326,VibIdlW2,602-605 Village Blvd N,,43.13417,-76.316403,
81215,81215,66,9327,VibIdlW1,598-601 Village Blvd N,,43.131977,-76.316339,
84307,84307,66,9319,VibIdlE1,562-577 Village Blvd N,,43.13315,-76.316216,
81212,81212,66,9320,VibIdlE2,530-545 Village Blvd N,,43.134538,-76.31581,
81213,81213,66,9321,VinIdlSE,Village Blvd N & Idlewood Blvd,,43.135272,-76.31502,
79713,79713,66,9757,104Co6SW,Route 104 & County Hwy 6,,43.479595,-76.314889,
81217,81217,66,9325,VibIdlNW,Village Blvd N & Idlewood Blvd,,43.135756,-76.314798,
79958,79958,66,15850,104Rt6NE,Rte 104 & Co Route 6,,43.479586,-76.314628,
84973,84973,66,17883,VibIdlE3,402-433 Village Blvd N,,43.136052,-76.314119,
84966,84966,66,17889,VibIdlW3,624-631 Village Blvd N,,43.136276,-76.313835,
80968,80968,66,10128,DelVilNE,Delwood Dr & Village Blvd S,,43.131352,-76.312669,
84304,84304,66,10133,DelVilSE,Delwood Dr & Village Blvd S,,43.131388,-76.312533,
85501,85501,66,891,GneMadNX,Genesee St & Maple Dr,,43.038205,-76.312247,
80974,80974,66,9300,MapSbrSX,Maple Rd & Seneca Beach Rd,,43.140673,-76.311936,
80975,80975,66,9301,MapSbrNE,Maple Rd & Seneca Beach Rd,,43.140602,-76.311553,
81043,81043,66,3758,EOL136S,Village of Camillus,,43.03842,-76.311507,
81216,81216,66,9324,VibCewNX,Village Blvd N & Cedarwood Dr,,43.137029,-76.311414,
81210,81210,66,9322,VibCewSX,Village Blvd & Cedarwood Dr,,43.136752,-76.311364,
80047,80047,66,933,HowFrnSW,Howlett Hill Rd & Frank Gay Rd,,43.013283,-76.31099,
85186,85186,66,2953,VibCtpWX,Village Blvd N & Christopher Dr,,43.137755,-76.310945,
85183,85183,66,2954,VibCtpSE,Village Blvd N & Christopher Dr,,43.137549,-76.310833,
80048,80048,66,932,HowFrnNX,Howlett Hill Rd & Frank Gay Rd,,43.013364,-76.310509,
85184,85184,66,2957,VibHiiNW,Village Blvd N & Higgins Dr,,43.139358,-76.310168,
81211,81211,66,9323,VibHilNE,Village Blvd N & Higgens Dr,,43.139197,-76.310094,
82227,82227,66,2963,MapVibSW,Maple Rd  & Village Blvd N,,43.139949,-76.310032,
82126,82126,66,882,GneNotNE,Genesee St & North St,,43.038941,-76.309508,
82674,82674,66,2925,DedIdlNE,Delwood Dr & Idlewood Blvd,,43.132911,-76.309371,
81556,81556,66,9286,SfbVilNX,State Fair Blvd & Village Blvd N,,43.139654,-76.30934,
82676,82676,66,2927,DedIdlSE,Delwood Dr & Idlewood Blvd,,43.132911,-76.309297,
82130,82130,66,885,GneCvhSX,Camillus Village Hall,,43.038914,-76.309089,
85589,85589,66,2919,IdlTimSW,Idlewood Blvd & Timwood Dr,,43.132715,-76.30842,
85053,85053,66,3316,CthOsrSW,County Hwy 57 & Oswego River Rd,,43.235341,-76.308239,
85587,85587,66,2913,IdlTimNX,Idlewood Blvd & Timwood Dr,,43.132608,-76.30795,
81450,81450,66,3320,CthBybNE,County Hwy 57 & Brandybrook Ln,,43.235306,-76.307793,
82448,82448,66,2909,IdlFinSW,Idlewood Blvd & Finwood Dr,,43.132312,-76.307283,
82443,82443,66,2903,IdlFinNX,Idlewood Blvd & Finwood Dr,,43.132277,-76.306801,
