objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
85028,85028,66,2143,EgeAlmNE,E.Genesee St & Almond St,,43.04743600000,-76.14199900000
83616,83616,66,6729,EwsAlmNE,E.Washington St & Almond St,,43.04951300000,-76.14198300000
81223,81223,66,1436,SsaBenSE,S.Salina St & Bennington Dr,,43.01186000000,-76.14196700000
80406,80406,66,5229,BrrEtfSE,Brewerton Rd & E.Taft Rd,,43.12265900000,-76.14193400000
85764,85764,66,6006,GarGarSE,Garfield Pl & Garfield Ave,,43.02752600000,-76.14193100000
83873,83873,66,1418,SsaHalNW,S.Salina St & Hall Ave,,43.01258500000,-76.14190400000
81685,81685,66,1482,SsaWroNW,S.Salina St & W.Roswell Ave,S SALINA ST & ELTON AVE,42.97838000000,-76.14189500000
80319,80319,66,1116,HutHisNE,Huntley St & Hillside St,,43.07751700000,-76.14189100000
84979,84979,66,11331,GarEliNW,Garfield AVe & Elizabeth St,,43.02687200000,-76.14188200000
82873,82873,66,5995,GarEzhNW,Garfield Ave & Elizabeth St,,43.02687200000,-76.14187000000
80773,80773,66,1400,WmtSsaSW,W.Matson Ave & S.Salina St,,43.01337200000,-76.14185400000
83874,83874,66,1481,SsaEroNE,S.Salina St & E.Roswell Ave,S SALINA ST & E ROSWELL AVE,42.97832600000,-76.14184500000
82212,82212,66,9229,CttCinSW,Chestnut St & Catherine St,,43.13583000000,-76.14182700000
82663,82663,66,10731,ColGarSW,Colvin St & Garfield Ave,,43.02606600000,-76.14179700000
84490,84490,66,1376,SsaWneNW,S.Salina St & W.Newell St,S SALINA ST & W NEWELL ST,43.01812600000,-76.14179700000
82874,82874,66,5994,GarEzhSE,Garfield Ave & Elizabeth St,,43.02672000000,-76.14178400000
81397,81397,66,1382,SsaWneNE,S.Salina St & W.Newell St,S SALINA ST & E NEWELL ST,43.01815300000,-76.14176000000
85510,85510,66,1783,EcoGarSW,E.Colvin St & Garfield Ave,,43.02608400000,-76.14176000000
84735,84735,66,1397,SsaWmtNW,S.Salina St & W.Matson Ave,S SALINA ST & W MATSON AVE,43.01348900000,-76.14175500000
82990,82990,66,17634,ParHigSW,Park St & Highland St,,43.06298600000,-76.14174100000
80772,80772,66,1402,SsaEmaSE,S.Salina St & E.Matson Ave,S SALINA ST & E MATSON AVE,43.01331900000,-76.14171800000
81144,81144,66,8397,GrdHigSE,Grant Blvd & Highland St,,43.07214500000,-76.14171400000
81642,81642,66,9366,MatWriN2,Malden Rd & Wright Ave,MALDEN RD & BREMAN AVE,43.10449200000,-76.14170200000
81033,81033,66,11298,LodWilSW,Lodi St & E Willow St,,43.05698800000,-76.14161400000
83690,83690,66,1472,SsaWeaNW,S.Salina St & Wendell Ave,S SALINA ST & WENDELL AVE,42.97699200000,-76.14158900000
84113,84113,66,8598,EcoGarNE,E Colvin St & Garfield Ave,,43.02615600000,-76.14158700000
82768,82768,66,3779,TooAptLM,Toomey Abbott Apts,,43.03855500000,-76.14156800000
83440,83440,66,9390,EmyMchNE,E Molloy Rd & Mitchell Ave,,43.09800100000,-76.14151400000
80120,80120,66,17377,SkyAptLM,Skyline Apartments,,43.05594000000,-76.14150500000
83692,83692,66,1471,SsaRocSE,S.Salina St & Rockwell Rd,S SALINA ST & ROCKWELL RD,42.97682200000,-76.14150300000
84489,84489,66,1377,SsaWplNW,S.Salina St & W.Pleasant Ave,S SALINA ST & W PLEASANT AVE,43.01731100000,-76.14145300000
80539,80539,66,1461,SsaDutNW,S.Salina St & Dutton Ave,S SALINA ST & MARY LN,42.97555100000,-76.14144300000
84738,84738,66,1394,SsaEosSE,S.Salina St & E.Ostrander Ave,S SALINA ST & E OSTRANDER AVE,43.01419600000,-76.14140800000
84818,84818,66,1396,SsaWosNW,S.Salina St & W.Ostrander Ave,S SALINA ST & W OSTRANDER AVE,43.01436600000,-76.14137100000
80641,80641,66,11199,LodWilNE,Lodi St & E Willow St,,43.05690700000,-76.14136700000
85505,85505,66,14905,ParHihNE,Park St & Highland St,,43.06304000000,-76.14135800000
80145,80145,66,6259,CotMahSW,Court St & Maplehurst Ave,,43.08110600000,-76.14135500000
83468,83468,66,1453,SsaHudSE,S.Salina St & Hudson Ave,S SALINA ST & HUDSON AVE,42.97501400000,-76.14132000000
80314,80314,66,1446,SsaEdwNW,S.Salina St & Edward Pky,S SALINA ST & EDWARD PKWY,42.97380500000,-76.14123600000
81395,81395,66,1388,SsaWctSW,S.Salina St & W.Calthrop Ave,S SALINA ST & W CALTHROP AVE,43.01615600000,-76.14120800000
